Date,Open,High,Low,Close,Adj Close,Volume
02-04-2018,51.251999,61.855999,48.917999,59.860001,59.860001,437482500
09-04-2018,60.074001,61.900002,57.841999,60.068001,60.068001,218292500
16-04-2018,59.799999,60.202,56.501999,58.048,58.048,158073500
23-04-2018,58.257999,58.894001,55.299999,58.816002,58.816002,116564500
30-04-2018,58.722,61.369999,55.046001,58.818001,58.818001,218728500
07-05-2018,59.5,62.598,59.034,60.212002,60.212002,153334000
14-05-2018,60.664001,60.987999,54.799999,55.363998,55.363998,170762500
21-05-2018,56.265999,58.298,54.683998,55.77,55.77,160826500
28-05-2018,55.702,59.001999,55.23,58.363998,58.363998,122502000
04-06-2018,58.868,66,57.348,63.532001,63.532001,260554000
11-06-2018,64.501999,72.933998,64.5,71.634003,71.634003,334150000
18-06-2018,71.080002,74.746002,66.400002,66.725998,66.725998,257260000
25-06-2018,66.024002,71.403999,65.160004,68.589996,68.589996,188039500
02-07-2018,72.014,72.956001,59.243999,61.779999,61.779999,286921500
09-07-2018,62.397999,65.536003,61.599998,63.773998,63.773998,167717000
16-07-2018,62.341999,65.099998,61.25,62.716,62.716,157583000
23-07-2018,60.368,62.139999,58.509998,59.436001,59.436001,189964500
30-07-2018,59.18,71,57.226002,69.634003,69.634003,294459500
06-08-2018,69.092003,77.491997,67.830002,71.098,71.098,463735500
13-08-2018,72.225998,72.638,60.706001,61.099998,61.099998,257871000
20-08-2018,58.34,65.463997,57.639999,64.564003,64.564003,226352000
27-08-2018,63.599998,64.487999,59.543999,60.332001,60.332001,203838000
03-09-2018,59.388,59.638,50.450001,52.647999,52.647999,230220000
10-09-2018,54.652,59.466,54.200001,59.040001,59.040001,232874000
17-09-2018,58.007999,61.195999,55.099998,59.82,59.82,220649500
24-09-2018,59.695999,62.992001,52.112,52.953999,52.953999,296633500
01-10-2018,61.153999,63.368,52,52.389999,52.389999,346374000
08-10-2018,52.903999,53.551998,49.554001,51.756001,51.756001,268588500
15-10-2018,51.812,56.540001,50.700001,52,52,195893000
22-10-2018,52.136002,67.980003,50.518002,66.18,66.18,464763000
29-10-2018,67.494003,69.839996,64.452003,69.281998,69.281998,235225500
05-11-2018,68.099998,71.515999,66.028,70.101997,70.101997,170789500
12-11-2018,69.674004,71.139999,66.068001,70.862,70.862,146311500
19-11-2018,71.267998,73.349998,65.110001,65.166,65.166,133015000
26-11-2018,65,70.32,65,70.096001,70.096001,135939000
03-12-2018,72,75.898003,70.152,71.594002,71.594002,180610500
10-12-2018,72,75.573997,70.624001,73.141998,73.141998,158264000
17-12-2018,72.400002,73.139999,62.374001,63.953999,63.953999,200684500
24-12-2018,62.700001,67.248001,58.818001,66.774002,66.774002,161185500
31-12-2018,67.557999,67.842003,59.476002,63.537998,63.537998,161601000
07-01-2019,64.344002,69.681999,63.549999,69.452003,69.452003,155440500
14-01-2019,68.475998,70.400002,59.945999,60.452,60.452,219115500
21-01-2019,60.964001,61.599998,55.855999,59.408001,59.408001,199292500
28-01-2019,58.582001,63.220001,57.549999,62.442001,62.442001,210739500
04-02-2019,62.596001,64.848,59.700001,61.16,61.16,157491000
11-02-2019,62.32,63.720001,60.200001,61.576,61.576,134473000
18-02-2019,61.312,62.307999,58.099998,58.942001,58.942001,129801500
25-02-2019,59.582001,64,57.754002,58.958,58.958,299125000
04-03-2019,59.624001,59.799999,54.02,56.827999,56.827999,322295500
11-03-2019,56.703999,59.077999,54.880001,55.085999,55.085999,218150000
18-03-2019,55.200001,55.610001,52.692001,52.905998,52.905998,218412500
25-03-2019,51.942001,56.066002,50.891998,55.972,55.972,195552500
01-04-2019,56.523998,59.234001,52.118,54.992001,54.992001,291338500
08-04-2019,55.537998,56.231998,53.119999,53.540001,53.540001,199788000
15-04-2019,53.726002,55,51.726002,54.652,54.652,141571500
22-04-2019,53.799999,53.936001,46.226002,47.028,47.028,390143000
29-04-2019,47.172001,51.321999,46.299999,51.006001,51.006001,393748000
06-05-2019,50.004002,51.669998,47.203999,47.903999,47.903999,204307000
13-05-2019,46.402,46.900002,41.784,42.206001,42.206001,253266000
20-05-2019,40.560001,41.48,37.243999,38.125999,38.125999,489495000
27-05-2019,38.240002,39,36.82,37.032001,37.032001,203073500
03-06-2019,37.102001,42.200001,35.397999,40.900002,40.900002,383142000
10-06-2019,42.049999,44.675999,41.501999,42.984001,42.984001,265188500
17-06-2019,43.096001,46.948002,42.854,44.372002,44.372002,258366500
24-06-2019,44.647999,45.445999,43.470001,44.692001,44.692001,168156000
01-07-2019,46.042,48.313999,44.444,46.619999,46.619999,193696000
08-07-2019,46.248001,49.076,45.456001,49.015999,49.015999,189659500
15-07-2019,49.599998,51.992001,48.972,51.636002,51.636002,203604000
22-07-2019,51.75,53.214001,44.450001,45.608002,45.608002,276921500
29-07-2019,45.417999,49.335999,45.206001,46.868,46.868,204782500
05-08-2019,45.919998,47.959999,45.150002,47.001999,47.001999,132707500
12-08-2019,46.598,47.200001,42.310001,43.987999,43.987999,161663500
19-08-2019,44.841999,45.818001,42.200001,42.279999,42.279999,161633500
26-08-2019,42.720001,46.487999,42.307999,45.122002,45.122002,140968500
02-09-2019,44.816002,45.959999,43.841999,45.490002,45.490002,113499000
09-09-2019,46,50.700001,45.787998,49.040001,49.040001,168117500
16-09-2019,49.200001,49.633999,47.632,48.124001,48.124001,119562500
23-09-2019,48,49.742001,43.672001,48.425999,48.425999,248298500
30-09-2019,48.599998,49.189999,44.855999,46.285999,46.285999,203766500
07-10-2019,45.959999,50.216,45.709999,49.577999,49.577999,191977500
14-10-2019,49.580002,52.956001,49.425999,51.389999,51.389999,169205000
21-10-2019,51.666,66,50.035999,65.625999,65.625999,373046000
28-10-2019,65.508003,68.167999,61.959999,62.661999,62.661999,263236500
04-11-2019,62.959999,68.300003,61.852001,67.428001,67.428001,221039000
11-11-2019,68.790001,71.265999,68.400002,70.433998,70.433998,185200500
18-11-2019,70.584,72.239998,66,66.608002,66.608002,209154500
25-11-2019,68.863998,68.914001,65.419998,65.987999,65.987999,141540500
02-12-2019,65.879997,67.772003,65.449997,67.178001,67.178001,147591000
09-12-2019,67.318001,73.042,67.015999,71.678001,71.678001,195420000
16-12-2019,72.510002,82.599998,72.5,81.117996,81.117996,368259000
23-12-2019,82.356003,87.061996,82,86.075996,86.075996,209769500
30-12-2019,85.758003,90.800003,80.416,88.601997,88.601997,250913500
06-01-2020,88.094002,99.760002,88,95.629997,95.629997,502796500
